"E_manip_small$starttime","E_manip_small$female","E_manip_small$religion","E_manip_small$age","E_manip_small$numHousehold","E_manip_small$married","E_manip_small$children","E_manip_small$childrenNum","E_manip_small$formalEdu","E_manip_small$formalEduYears","E_manip_small$job","E_manip_small$urban","covid_real","covid_immunity_self","covid_embezzle","covid_attack","covid_hotdrink","covid_trust","covid_approval","covid_takevaccine","covid_takeyes_why","I want to protect myself from having COVID-19 in the future","I want to protect my family/members of my household against having COVID-19 in the future","I want to protect my community against having COVID-19 in the future","Life won't go back to normal until most people are vaccinated","The NCDC / government recommends getting vaccines","It is free","Other_covidyes","covid_takeyes_why__99","covid_takeyes_why_12","covid_takeno_why","I would be concerned about the side effects from the vaccine","I would be concerned about getting infected with coronavirus from the vaccine","I'm not concerned about getting seriously ill from the virus","I don't think vaccines work very well","The coronavirus outbreak is not as serious as people say it is","I don't like needles","I'm allergic to vaccines","I won't have time to go get vaccinated","Religious / community leaders advising me not to take it","The virus is a hoax / does not exist","The vaccine has microchips/ tracking devices","Other_covidno","covid_takeno_why__99","covid_takeno_why_13","covid_takencdc","covid_takeprominent","vaccine_trust","vaccine_trust_1","vaccine_pay","vaccines_safe","vaccines_effective"
"11/19/2020 6:51","1","Christian",41,4,1,1,2,1,14,1,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Family members and friends","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 6:52","0","Christian",60,13,1,1,7,1,14,0,1,"Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1 3","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 6:53","1","Christian",37,6,1,1,4,1,13,1,0,"Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","5","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree","Medical professionals like doctors","","No/Disagree","No/Disagree","No/Disagree"
"11/19/2020 7:05","1","Christian",30,5,1,1,2,1,12,1,0,"No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Government officials","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 7:11","1","Muslim",24,3,1,1,1,1,13,0,0,"Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 7:12","0","Christian",40,16,0,0,NA,1,13,1,1,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Family members and friends","","Yes/Agree","No/Disagree","Yes/Agree"
"11/19/2020 7:20","0","Muslim",34,3,1,1,2,1,10,1,1,"No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","99","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","BECAUSE I DONT BELIEVE THE VIRUS EXIST","No/Disagree","No/Disagree",NA,"","No/Disagree","Yes/Agree","Yes/Agree"
"11/19/2020 7:32","1","Christian",29,7,0,0,NA,1,14,1,1,"No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 7:33","1","Christian",27,5,0,0,NA,1,14,0,0,"Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","1 2 3","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","Yes/Agree","Medical professionals like doctors","","No/Disagree","Yes/Agree","Yes/Agree"
"11/19/2020 7:37","1","Christian",28,5,0,0,NA,1,14,1,1,"Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 7:39","0","Muslim",35,7,0,0,NA,1,13,1,1,"Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Other community leaders","","Yes/Agree","No/Disagree","Yes/Agree"
"11/19/2020 7:44","1","Christian",31,6,0,0,NA,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Family members and friends","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 7:45","0","Muslim",32,3,0,0,NA,1,14,1,0,"Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","3","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 7:46","1","Christian",40,5,1,1,3,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","2","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Family members and friends","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 7:47","0","Christian",50,8,1,1,8,1,7,1,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","1 2 3","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 7:49","0","Christian",30,5,0,0,NA,1,14,1,0,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:04","1","Muslim",28,9,0,0,NA,1,14,1,0,"Yes/Agree","No/Disagree",NA,NA,"No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","1 2 3","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","Yes/Agree","Yes/Agree","NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:04","1","Christian",35,13,0,0,NA,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","99","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Witnessed others that got it and dont want it to happen to her.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:06","0","Christian",24,2,0,0,NA,1,14,0,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:11","1","Muslim",62,52,1,1,10,1,6,1,0,"No/Disagree","Yes/Agree",NA,NA,"No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","1 3","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree","Religious leaders","","No/Disagree","No/Disagree","No/Disagree"
"11/19/2020 8:12","0","Christian",31,6,0,0,NA,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:13","0","Christian",23,8,0,0,NA,1,13,0,1,NA,"No/Disagree","Yes/Agree",NA,NA,"No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","3","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","Yes/Agree","Yes/Agree",NA,"","No/Disagree",NA,NA
"11/19/2020 8:14","1","Muslim",19,24,0,0,NA,1,14,0,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","2","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:17","1","Christian",30,2,1,0,NA,1,13,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","2","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Family members and friends","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:25","0","Muslim",45,6,1,1,4,1,14,1,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","5","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","Yes/Agree","No/Disagree","Medical professionals like doctors","","No/Disagree","No/Disagree","Yes/Agree"
"11/19/2020 8:26","0","Muslim",40,7,1,1,5,1,13,1,0,"Yes/Agree","No/Disagree","Yes/Agree",NA,NA,"Yes/Agree","Yes/Agree","Yes/Agree","2","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","No/Disagree",NA,"Yes/Agree"
"11/19/2020 8:26","1","Muslim",22,6,0,0,NA,1,13,1,0,"Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","1 2 4 7 9","Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","Yes/Agree","Yes/Agree","NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:31","1","Muslim",35,16,1,1,4,1,14,1,0,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:33","1","Christian",27,8,0,1,1,1,14,0,1,"Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:36","1","Christian",38,8,1,1,6,1,14,1,1,"No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","99","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Dont believe it exists","Yes/Agree","Yes/Agree","Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:39","0","Christian",50,3,1,1,8,1,14,1,0,"Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:41","0","Christian",48,6,1,1,3,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree",NA,"No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:42","1","Christian",22,6,1,1,4,1,13,0,1,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","4","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Religious leaders","","No/Disagree","Yes/Agree","Yes/Agree"
"11/19/2020 8:49","1","Muslim",41,4,1,1,2,1,14,1,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","1 2","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:53","0","Christian",26,7,0,0,NA,1,14,0,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","Yes/Agree","No/Disagree","Some other source","Myself","No/Disagree","Yes/Agree","Yes/Agree"
"11/19/2020 8:56","0","Christian",32,8,0,0,NA,1,14,0,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","4","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 8:58","0","Christian",34,12,1,1,3,1,13,1,1,"Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","2","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree","Family members and friends","","No/Disagree","No/Disagree","No/Disagree"
"11/19/2020 9:03","0","Muslim",46,6,1,1,4,1,14,1,1,"Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 9:08","1","Muslim",20,3,1,1,1,1,10,0,0,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/19/2020 9:09","1","Christian",41,6,1,1,3,1,14,0,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","2 4","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
